Data;Tmax;Tmin;I;Tmean;UR;V
"""1993-01-01""";30.9;18.6;12.0;24.6;61.0;1.666667
"""1993-02-01""";31.9;20.0;10.4;26.4;50.25;1.566667
"""1993-03-01""";31.3;21.4;5.0;23.78;71.25;2.9666669999999997
"""1993-04-01""";28.7;18.9;7.2;22.52;80.5;1.8
"""1993-05-01""";26.8;18.4;3.7;21.1;84.5;0.833333
"""1993-06-01""";24.7;18.6;2.5;20.64;93.0;1.366667
"""1993-07-01""";27.8;19.2;1.9;22.68;85.5;1.266667
"""1993-08-01""";28.1;19.6;4.9;23.04;70.25;2.166667
"""1993-09-01""";28.9;17.8;4.0;22.22;76.25;1.666667
"""1993-10-01""";29.1;17.8;6.0;23.58;61.75;1.7333330000000002
"""1993-11-01""";30.4;20.8;10.0;24.68;60.25;1.133333
"""1993-12-01""";30.1;18.8;7.4;24.78;63.0;1.9
"""1993-01-13""";29.9;20.8;11.3;24.94;52.0;3.0333330000000003
"""1993-01-14""";28.3;19.8;11.3;23.66;57.75;2.733333
"""1993-01-15""";30.4;19.8;8.4;24.82;55.0;1.9
"""1993-01-16""";30.1;20.6;8.9;23.92;70.5;1.333333
"""1993-01-17""";27.1;19.9;3.4;23.28;71.25;2.933333
"""1993-01-18""";26.7;18.0;3.1;22.04;73.5;1.633333
"""1993-01-19""";22.4;19.6;0.0;20.86;87.25;1.066667
"""1993-01-20""";26.2;19.2;2.2;21.96;88.5;1.433333
"""1993-01-21""";27.8;19.3;5.0;22.38;82.75;1.533333
"""1993-01-22""";24.5;19.2;3.1;21.12;91.5;1.4
"""1993-01-23""";25.9;18.6;1.5;21.64;84.5;0.833333
"""1993-01-24""";29.7;18.0;5.6;23.26;71.75;1.1
"""1993-01-25""";29.1;18.8;10.8;23.92;56.75;1.9666669999999997
"""1993-01-26""";29.7;18.8;8.9;24.76;54.75;1.7666669999999998
"""1993-01-27""";30.0;20.2;7.2;25.02;60.25;2.1
"""1993-01-28""";29.0;20.0;8.0;24.22;59.75;2.0333330000000003
"""1993-01-29""";29.4;20.0;8.7;24.56;67.0;2.1333330000000004
"""1993-01-30""";29.5;20.6;10.5;24.76;51.5;2.166667
"""1993-01-31""";31.0;20.6;10.6;24.78;56.25;2.6
"""1993-01-02""";29.2;20.0;8.0;24.22;60.0;1.4
"""1993-02-02""";28.3;19.6;6.5;24.12;60.5;1.9
"""1993-03-02""";26.8;19.2;2.7;21.42;88.0;1.333333
"""1993-04-02""";26.8;18.0;3.8;21.78;85.25;1.8
"""1993-05-02""";25.7;18.0;0.8;21.26;93.0;0.8
"""1993-06-02""";26.5;19.4;2.1;22.7;76.75;1.633333
"""1993-07-02""";29.1;20.0;8.3;24.38;68.5;1.6
"""1993-08-02""";26.8;19.2;2.3;22.94;78.75;0.9
"""1993-09-02""";30.2;20.6;9.0;25.14;60.0;2.2
"""1993-10-02""";28.2;20.4;6.0;24.18;75.5;1.8
"""1993-11-02""";28.3;19.4;7.5;23.84;65.0;1.7333330000000002
"""1993-12-02""";28.8;19.2;8.1;22.38;75.25;1.666667
"""1993-02-13""";26.0;17.6;2.4;21.18;82.25;1.666667
"""1993-02-14""";25.1;18.4;1.3;20.56;96.0;1.133333
"""1993-02-15""";22.8;19.0;0.0;20.34;89.25;1.3
"""1993-02-16""";26.4;18.2;0.7;21.98;70.75;2.4
"""1993-02-17""";28.4;19.6;10.4;23.62;62.0;2.9666669999999997
"""1993-02-18""";28.3;20.0;8.9;23.48;65.5;2.433333
"""1993-02-19""";27.3;19.2;10.2;22.88;64.75;2.8666669999999996
"""1993-02-20""";29.7;19.6;8.9;24.2;61.0;2.433333
"""1993-02-21""";30.7;20.6;8.4;25.32;61.5;2.1333330000000004
"""1993-02-22""";28.4;18.4;6.9;23.46;77.5;0.8
"""1993-02-23""";29.2;19.8;5.6;23.66;67.5;1.4
"""1993-02-24""";27.2;19.2;4.8;22.7;75.75;1.133333
"""1993-02-25""";28.0;20.4;4.3;22.74;75.75;2.066667
"""1993-02-26""";27.4;19.0;5.6;22.66;78.0;1.633333
"""1993-02-27""";29.2;19.4;5.0;23.7;70.25;0.866667
"""1993-02-28""";30.5;18.0;8.8;23.16;73.75;1.6
"""1993-01-03""";29.8;18.8;8.0;22.86;71.0;1.9
"""1993-02-03""";29.7;19.0;4.4;23.28;72.5;0.933333
"""1993-03-03""";28.9;20.4;10.0;24.04;59.5;2.433333
"""1993-04-03""";28.5;21.0;9.9;23.92;58.5;1.233333
"""1993-05-03""";28.6;19.6;9.9;24.14;55.5;2.4
"""1993-06-03""";28.0;20.0;9.4;23.66;59.75;2.2
"""1993-07-03""";30.8;20.0;9.8;25.14;53.0;0.7
"""1993-08-03""";31.7;20.4;8.8;26.56;47.25;0.9
"""1993-09-03""";31.3;21.0;5.9;25.24;64.75;0.633333
"""1993-10-03""";31.6;21.2;6.4;25.9;60.0;1.566667
"""1993-11-03""";29.6;22.0;5.7;25.46;68.25;1.366667
"""1993-12-03""";31.3;20.2;9.3;23.6;71.0;2.3666669999999996
"""1993-03-13""";29.3;19.2;6.1;24.16;68.0;1.3
"""1993-03-14""";30.5;14.2;8.9;23.44;63.0;1.566667
"""1993-03-15""";30.4;18.2;6.8;22.58;78.75;1.533333
"""1993-03-16""";30.2;18.0;9.8;23.94;63.75;1.9666669999999997
"""1993-03-17""";30.4;20.2;8.4;24.64;65.0;1.7333330000000002
"""1993-03-18""";30.3;21.8;6.2;25.26;64.5;1.633333
"""1993-03-19""";29.7;20.6;6.3;24.04;63.75;1.533333
"""1993-03-20""";29.8;20.2;8.4;24.66;64.5;1.533333
"""1993-03-21""";26.3;18.6;4.1;21.92;73.75;2.4666669999999997
"""1993-03-22""";26.9;19.4;9.4;23.32;63.5;2.5333330000000003
"""1993-03-23""";28.8;19.6;8.2;23.66;68.5;1.8666669999999999
"""1993-03-24""";28.9;20.0;7.8;24.4;60.75;2.166667
"""1993-03-25""";29.7;20.8;6.4;24.48;66.0;1.233333
"""1993-03-26""";30.7;20.9;8.3;24.5;64.25;1.366667
"""1993-03-27""";29.3;20.8;8.2;24.76;62.75;2.666667
"""1993-03-28""";27.5;21.2;3.6;23.96;65.5;1.6
